8.20.247.20          : [10], 64 bytes, 75.5 ms (74.5 avg, 0% loss)
180.76.76.76         : [10], 64 bytes, 170 ms (170 avg, 0% loss)
114.114.114.114      : [10], 64 bytes, 166 ms (166 avg, 0% loss)
77.88.8.8            : [10], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.88           : [10], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.1            : [10], 64 bytes, 301 ms (301 avg, 0% loss)
77.88.8.2            : [10], 64 bytes, 294 ms (293 avg, 0% loss)
77.88.8.7            : [10], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [10], 64 bytes, 288 ms (288 avg, 0% loss)
8.8.8.8              : [11], 64 bytes, 7.18 ms (10.6 avg, 0% loss)
8.8.4.4              : [11], 64 bytes, 6.72 ms (6.80 avg, 0% loss)
208.67.220.123       : [11], 64 bytes, 7.21 ms (6.73 avg, 0% loss)
216.146.35.35        : [10], timed out (NaN avg, 100% loss)
216.146.36.36        : [10], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [11], 64 bytes, 5.88 ms (6.48 avg, 0% loss)
80.80.80.80          : [11], 64 bytes, 58.4 ms (59.0 avg, 0% loss)
2001:4860:4860::8844 : [11], 64 bytes, 7.29 ms (6.39 avg, 0% loss)
80.80.81.81          : [11], 64 bytes, 57.5 ms (57.5 avg, 0% loss)
2620:119:35::35      : [11], 64 bytes, 6.49 ms (6.66 avg, 0% loss)
2620:fe::fe          : [11], 64 bytes, 6.47 ms (6.11 avg, 0% loss)
2a10:50c0::ad1:ff    : [11], 64 bytes, 6.28 ms (6.39 avg, 0% loss)
8.26.56.26           : [11], 64 bytes, 73.3 ms (73.8 avg, 0% loss)
2606:4700:4700::1111 : [11], 64 bytes, 6.51 ms (6.58 avg, 0% loss)
8.20.247.20          : [11], 64 bytes, 75.2 ms (74.5 avg, 0% loss)
180.76.76.76         : [11], 64 bytes, 170 ms (170 avg, 0% loss)
114.114.114.114      : [11], 64 bytes, 165 ms (166 avg, 0% loss)
77.88.8.8            : [11], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.88           : [11], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.1            : [11], 64 bytes, 301 ms (301 avg, 0% loss)
77.88.8.2            : [11], 64 bytes, 292 ms (293 avg, 0% loss)
77.88.8.7            : [11], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [11], 64 bytes, 287 ms (288 avg, 0% loss)
8.8.8.8              : [12], 64 bytes, 8.48 ms (10.5 avg, 0% loss)
8.8.4.4              : [12], 64 bytes, 5.86 ms (6.73 avg, 0% loss)
208.67.220.123       : [12], 64 bytes, 6.51 ms (6.72 avg, 0% loss)
216.146.35.35        : [11], timed out (NaN avg, 100% loss)
216.146.36.36        : [11], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [12], 64 bytes, 6.71 ms (6.50 avg, 0% loss)
80.80.80.80          : [12], 64 bytes, 58.7 ms (58.9 avg, 0% loss)
2001:4860:4860::8844 : [12], 64 bytes, 5.62 ms (6.33 avg, 0% loss)
80.80.81.81          : [12], 64 bytes, 57.1 ms (57.5 avg, 0% loss)
2620:119:35::35      : [12], 64 bytes, 6.40 ms (6.64 avg, 0% loss)
2620:fe::fe          : [12], 64 bytes, 6.90 ms (6.17 avg, 0% loss)
2a10:50c0::ad1:ff    : [12], 64 bytes, 6.79 ms (6.42 avg, 0% loss)
8.26.56.26           : [12], 64 bytes, 74.3 ms (73.9 avg, 0% loss)
2606:4700:4700::1111 : [12], 64 bytes, 7.43 ms (6.64 avg, 0% loss)
8.20.247.20          : [12], 64 bytes, 74.0 ms (74.5 avg, 0% loss)
180.76.76.76         : [12], 64 bytes, 170 ms (170 avg, 0% loss)
114.114.114.114      : [12], 64 bytes, 166 ms (166 avg, 0% loss)
77.88.8.8            : [12], 64 bytes, 287 ms (287 avg, 0% loss)
77.88.8.88           : [12], 64 bytes, 287 ms (288 avg, 0% loss)
77.88.8.1            : [12], 64 bytes, 301 ms (301 avg, 0% loss)
77.88.8.2            : [12], 64 bytes, 293 ms (293 avg, 0% loss)
77.88.8.7            : [12], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [12], 64 bytes, 289 ms (288 avg, 0% loss)
8.8.8.8              : [13], 64 bytes, 6.57 ms (10.2 avg, 0% loss)
8.8.4.4              : [13], 64 bytes, 6.55 ms (6.72 avg, 0% loss)
208.67.220.123       : [13], 64 bytes, 6.57 ms (6.71 avg, 0% loss)
216.146.35.35        : [12], timed out (NaN avg, 100% loss)
216.146.36.36        : [12], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [13], 64 bytes, 5.95 ms (6.46 avg, 0% loss)
80.80.80.80          : [13], 64 bytes, 59.3 ms (59.0 avg, 0% loss)
2001:4860:4860::8844 : [13], 64 bytes, 5.63 ms (6.28 avg, 0% loss)
80.80.81.81          : [13], 64 bytes, 57.5 ms (57.5 avg, 0% loss)
2620:119:35::35      : [13], 64 bytes, 6.51 ms (6.63 avg, 0% loss)
2620:fe::fe          : [13], 64 bytes, 5.48 ms (6.12 avg, 0% loss)
2a10:50c0::ad1:ff    : [13], 64 bytes, 6.65 ms (6.44 avg, 0% loss)
8.26.56.26           : [13], 64 bytes, 74.8 ms (73.9 avg, 0% loss)
2606:4700:4700::1111 : [13], 64 bytes, 6.78 ms (6.65 avg, 0% loss)
8.20.247.20          : [13], 64 bytes, 74.3 ms (74.5 avg, 0% loss)
180.76.76.76         : [13], 64 bytes, 170 ms (170 avg, 0% loss)
114.114.114.114      : [13], 64 bytes, 165 ms (166 avg, 0% loss)
77.88.8.8            : [13], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.88           : [13], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.1            : [13], 64 bytes, 301 ms (301 avg, 0% loss)
